aim1-3
nr_038323
nonhsat073641
miat
snhg5
rmst
anril
gm15645
snhg14
hotair
ensmust00000147869
shng16
afap1-as
rncr3
tp53tg1
draic
casc11
hnf1a-as1
loc152742
loxl1-as1
vps9d1-as1
tcons_00019174
mfi2-as1
ha117
veal2
ancr
nonhsag045500
ak136714
loc400891
caif
snhg1
lncrna-nr_104160
ak021444
trpc7-as1
lnctmem235
1810034e14rik
nr_104160
af119885
loc103691771
hcg18
pvt1
prins
rapia
pfl
linc00152
lncrna-meg3
lncrna-heim
atb
casc8
vestar
pcgem1
bc088327
lnc-hnf1b-3:1
snhg8
dilc
neat1
sled1
n1lr
ak012226
balr-2
slc20a1
ttty1
ak094457
linc00641
mirt1
mir22hg
thumpd3-as1
al929472.2
ufc1
gm2691
basp1-as1
mir31hg
cyp4b1-ps1-001
fal1
mhrt
sox2
lnc-dc
gdep
m6a
tonsl-as1
t-all-r-lncr1
picsar
1
gasl1
linc00261
lncrna-1810034e14rik
ncrna00259
snhg7
hn12
hulc
nonhsat142707
sox2ot
linc0597
scarna10
nron
ak077216
ly86-as1
hand2-as1
hcg22
enst00000416361
loc100507600
ccat1
faf1
linc8986
twf1
linc00599
lnc-lfar1-anril
lnc3643
loc646616
loc149620
pced1b-as1
lncrna-nr_033515
u90926
hottip
tincr
fer1l4
h19
linc-maf-4
lncrna-fa2h-2-mlkl
socs2-as1
nonratt021972
hist1h2ag-6
nonhsag053901
enst00000550337.
casc15
casc7
casc2
gm5524
nbr2
nonhsat148822.1
dio3os
c6orf176
tug1
sencr
bc088259
nr_038221
nonhsat034045
loc554202
rp11-679b19.1
rp11-414j4
snhg4
eag1
norad
fam83h-as1
crnde
pro1768
linc00520
pandar
lnc-isg20
ak131850
uc.345-
nkila
dlx6os1
vinas
hla-drb6
snhg20
loc285194
ac020928.1
enst00000566208
linc00311
snhg3
zfas1
bat5
sra
awpph
serpinb9p1
part1
linc01121
linc00968
ac037198.2
appat
foxc2-as1
gas-5
linc00176
lncrna-klf3-as1
heat2
nr_033515
sra1
oip5-as1
foxd2-as1
nr_027830
nrf
c15orf51
fam183b
blnc1
humt
coromarker
chrf
nonhsat101518.2
ac007032.1
malat-1
rp4-576h24.2
licn00518
meg3
loc101926975
pcfl
wt1-as
foxd3-as1
ctc-471j1.2
lncrna-p21
lnc-ghrl-3:3
mirt2
mir99ahg
nonhsat078957.2
uca1
nonhsat067134.2
tcf7
terc
lincrna-p21
linc00265
lnc7514
afap1-as1
ntt
enst00113
h2k2
zeb2-as1
plscr4
ftx
linc00324
il21r-as1
xist
mir4435-2hg
lbx2-as1
ccdc26
g36810
snhg17
gas5
ttty11
fas-as1
ak085865
ctepha1
enst00000422183
ttty15
enst00000501122.2
malat1
msc-as1
wtapp1
lamp5-as1
uc001ykl.1
snhg16
magi2-as3
trpm2-as
hotairm1
enst00000570366
dancr
bmncr
agap2-as1
gpr19
gm4419
klf3-as1
link-a
snhg9
ttc28-as1
zeb1-as1
xloc_035088
ifng-as1
bancr
kcnq1ot1
malat
hoxa-as3
snhg12
nalt
fam74a3
tdrg1
linc00518
lncrnacnn3-206
zeb2-as
dnmt1
sox2-ot
lnc_000052
rpph1
uc.48+
ttty21
enst00000448942
mical2
lnc-hnrnpu-1:7
ctbp1-as2
linc-scrg1
lnc5150
t199678
linc00513
nr_003142
enst00000604411.1
lnc-ghrl-3:2
kif9-as1
linc-pint
tcons_00483150
lnc-fam76b-4:1
ttty3
cir
nr_105053
ac111653.1
dq786243
cdkn2a
meg8
blacat2
nr_027927
pacer
linc01272
mir-221-3p
enst00000517573
lncrna-cir
mrak048635_p1
apf
