wrap53
cat104
bc041488
lnc-znf180-2
miat
lnc-stxbp5-1
rp11-181g12.2
spry4-it1
cahm
linc00032
linc00668
linc00161
enst00000480739
malat1
ai364715
rp11-160h22.5
loc728606
erich1-as1
dilc
unigene56159
rp1-179n16.3
pinc
fer1l4
rp11-325i22.2
bx648207
bc040303
malat2
lncrna-fer1l4
foxp4-as1
mrak088388
circ-0016347
ak024171
asbel
snhg18
linc-223
ccepr
uc009yby.1
rp5-1014o16.1
bx649059
let
snhg20
fezf1-as1
ghsros
af085995
tcl6
hotair
linc01315
linc00342
luadt1
lncrna-ak058003
linc00176
econexin
zmat1
mincr
ak093735
rp11-523h24.3
53bp1
linc01507
enst00000438347
ac007403.1
or3a4
mrak081523
lk4p2
nr_003573
loc283177
ncrupar
loc283663
uc003wbd
rgmb-as1
ab073614
ak058003
falec
znf674-as1
meloe
socs2-as1
lcal1
uc.338
sgo1-as1
dancr
linc01296
draic
cr749831
ebic
adarb2-as1
bc030759
clmat3
afap1-as1
ptenp1
ccal
nbat1
hnf1a-as1
ac006050.3
ak022024
ak294004
tunar
ac096655.1
sumo1p3
flj90757
numb
lincrna-p21
cps1-it1
nutf2p3-001
lincrna-ror
linc00675
tdrg1
rbmy2fp
pcats
loc389332
hotairm1
ptprg-as1
rp5-833a20.1
zeb1-as1
sbf2-as1
ck19
rp4-799p18.3
bc040587
gacat3
ac130710
pca3
uc.345
pcna-as1
asap1-it1
nonhsat125629
stxbp5-as1
linc00636
tpt1-as1
rp1-223e5.4
aslnc02525
hmlincrna717
rp11-702b10.1
schlap1
car10
u79277
sarcc
rp11-434d9.1
cerna2
linc00520
hif1a-as2
atb
frlnc1
zxf2
fam215a
hsa_circ_0013958
sox2ot
loc572558
uc.388
ensg00000261777
linc01617
apoc1p1-3
kiaa0087
lnc-mx1-1
rert
zfas1
bc032469
lncarsr
hif2put
znrd1-as1
irain
foxc2-as1
linc00160
ab074278
hcal
c6orf176-tv2
upat
lalr
lnc-mbl2-4:3
unmibc
mir22hg
crnde-h
loc100129148
bc087858
rp1-90g24.10
mrul
circmto1
hsa_circ_0043256
bx647187
map3k14
smad7
ccat1
dirc3
cecr7
icam-1
rmel3
lnccamta1
adamts9-as2
loc401317
af085935
runx1-it1
n375709
linc00993
lncrna-atb
ak095147
hottip
ak123072
z38
lnc-atb
agap2-as1
snhg6-003
mir31hg
duxap8
bc020384
suz12p1
ucoo2kmd.1
bcyrn1
linc-ror
pcat6
cadm1-as1
ac138128.1
uc.283-plus
pandar
tusc7
linc01133
bc017743
rp11-359e19.2
lnc00964-3
hulc
rp11-457m11.2
linc01852
snhg6
h1.3
hsa_circ_0001564
blacat1
znf300p1
zeb2-as1
cbr3-as1
linc00115
pcat18
st8sia6-as1
mina
fgfr3-as1
aatbc
ramp2-as1
pvt1
loc285194
rp11-57p19.1
linc00635
lunar1
tc0101441
dscam-as1
gaplinc
fendrr
circrna_100290
lncrna-hif2put
linc00346
linc01198
lincrna-bbox1-2
rp11-789c1.1
fgf14-as2
pcat14
hcg11
tug1
dq786227
x91348
tcons_00018278
tincr
ak001094
hif1a-as1
linc01207
tcons_00003876
wt1-as
rp1130-1
linc00460
cirs-7
xloc_014172
lnc_bc060912
lsinct5
hoxb-as3
linc-pxn-1
tcons_l2_00022611
mir100hg
bc003519
cdkn2b-as12
mfi2
ghet1
slc25a25-as1
loc100287225
rp11-284n8.3.1
snhg1
snhg16
fam3d-as1
rp11-501o2
linc00538
linc00657
rp11-80h5.7
vl30
ac026166.2
lnc-tead4-1:1
linc01016
gsec
rp11-838n2.4
ak000974
rp11-140i24
loc100132354
lnc-al355149.1-1
lef1-as1
prr26
loc728228
linc-itgb1
hoxa-as2
mir155hg
egfr-as1
mir7-3hg
aoc4p
ptcsc3
circgfra1
hoxa11-as
nkila
lncrna-dleu1
ptprd-as1
gcaspc
ap001631.9
rp11-600k151
nr_026689
ak027294
linc00628
ppp3ca
hit
heih
casc2
snhg15
xiap
casc8
tcons_l2_00022670
hsa_circ_0012673
rp11-397d12.4
rassf1-as1
dq786243
rp11-169d4.1
ak093543
airn
fr0348383
lnc-znf674-1
mhencr
bc037331
sox2-ot
cr615992
ctbp1-as
linc00887
ak307796
linc01234
linc00511
linc-cdh4-2
linc00339
casc11
xloc_001711
ftx
enst00000501583
lnc-beta-catm
leigc
ax800134
lncrna-mvih
ac145110.1
znf582-as1
kcnq1ot1
lnc-lce5a-1
snhg12
ak056098
linc01405
tslc1-as1
bc008363
hoxa-as3
rplp0p2
haglr
lnc-lamc2-1:1
nonhsat123350
linc00052
xr_250621.1
trp53cor1
linc00472
ufc1
ac012065.7
loc554202
af339813
loc149086
dreh
xloc_l2_010636
gtf2ird2p1
ctd903
rn7sk
fam212b-as1
rp4-583p15.10
cr594506
uc001ncr
pacerr
rp11-150o12.3
dpp10-as1
ak021443
loc100507661
snhg3
loc100505976
icr
ak098081
lncrna-422
dnm3os
foxcut
h19
acta2-as1
gata6-as1
loc102723552
lucat1
cxcl1p1
xloc_010235
lncrna-lalr1
rp11-567g11.1
loc440905
loc338651
bc015134
ak021595
bglt3
mt1dp
lnctcf7
rmst
gclnc1
pcat5
cdkn2b-as1
pcgem1
snhg5
ak124307
lincrna-tspan8
fam30a
ak024118
nexn-as1
enst00000438550
snh12
pcat7
mvih
terc
ror
ak123657
linc00473
sammson
bc016831
bace1-as
linc00974
mir4435-2hg
gas6-as1
ak124454
ltrs
lincrna1611
ac016745.3
c1qtnf9b-as1
neat1
xist
nptn-it1
circ-ttbk2
meg3
cdkn2b-as9
trim52-as1
dbccr1
jpx
pcat29
uhrf1
ewsat1
epb41l4a-as2
circ-itch
gas5
llme23
linp1
tcons_00068220
linc01138
enst00000395084
gas5-as1
mapkapk5-as1
pcat2
nutf2p3
linc00261
urhc
tcons_l2_00008237
bc040204
ac104699.1.1
d16366
linc00582
dlx6-as1
norad
ak126698
loc389641
tcons_l2_00013175
evi1
tcons_l2_00011130
linc01089
map3k20-as1
tuc339
gpc3-as1
krt7-as
prncr1
r05532
trpm2-as
91h
mir2052hg
lncrna-hh
linc00982
pcbp2-ot1
linc01158
ccat2
ctb-89h12.4
rbm5-as1/lust
cytor
pax8-as1
pcat1
linc01419
loc152578
bcar4
rsu1p2
dleu1
rp11-119f7.4
ak056988
snhg7
uca1
mdc1-as1
uc003yqb.1
rp1-13p20.6
egot
af070632
uc002kmd.1
c6orf176-tv1
rp11-307c12.11
lnc-cc3
la16c-313d11.11
rccrt1
linc00673
linc01018
ctd-2616j11.14
loweg
snar
linc00601
igkv
tusc8
linc00858
bancr
crnde
ak021444
circdock1
linc00312
pdia3f
rp11-395g23.3
ak022798
rp11-89k21
rmrp
pcncr1
dbh-as1
enst00000425785
rp11-254i22.1
linc00963
picsar
casc9
hif-2alpha
vtrna2-1
lncrna-n336928
ccdc26
af118081
tcons_l2_00001418
rp11-445h22.4
rp11-462c24.1
abhd11-as1
bc029135
casc15
tp73-as1
lnc-hoxc4-3:1
rp11-1149o23.2
ak000053
krt18p55
af147447
anti-nos2a
lcal6
linc00313
circ_0009910
igf2-as
ovaal
loc400891
sra
ac024560.2
fth1p3
af086415
