circ-PRKCI,miR-545
circ-PRKCI,miR-589
circ-PRMT5,miR-145
circ-PRMT5,miR-1304
circ-PRMT5,miR-188-5p
circ-PRMT5,miR-30c
circ-PRMT5,miR-377
circ-PRMT5,miR-498
circ-PRMT5,miR-382
circPRRC2A,miR-514a-5p
circPSMC3,miR-296-5p
circPTGR1,miR-449a
circPTN,miR-145-5p
circPTN,miR-330-5p
circPTPRA,miR-636
circPTPRA,miR-96-5p
circ-PTPRZ1,miR-1261
circPUM1,miR-326
circPUM1,miR-615-5p
circPUM1,miR-6753-5p
circPVT1,miR-124-3p
circPVT1,miR-125b
circPVT1,miR-145
circPVT1,miR-145-5p
circPVT1,miR-205-5p
circPVT1,miR-4663
circPVT1,miR-497
circ-RAD23B,miR-5095
circ-RAD23B,miR-593-3p
circ-RAD23B,miR-653-5p
circ-RanGAP1,miR-877-3p
circRAPGEF5,miR-198
circRBM23,miR-138
circRBMS3,miR-153
circRGNEF,miR-548
circRHOBTB3,miR-654-3p
circRhoC,miR-302e
circRHOT1,miR-26b
circRHOT1,miR-382
circRHOT1,miR-330
circRHOT1,miR-125a
circRIP2,miR-1305
circRNA_000284,miR-506
circRNA_000543,miR-9
circRNA_000911,miR-449a
circRNA_001275,miR-370-3p
circRNA_001569,miR-145
circRNA_0047905,miR-4516
circRNA_0047905,miR-1227-5p
circRNA_0072309,miR-665
circRNA_0084043,miR-153-3p
circRNA_036186,miR-193b-3p
circRNA_100146,miR-361-3p
circRNA_100146,miR-615-5p
circRNA_100284,miR-217
circRNA_100290,miR-136-5p
circRNA_100290,miR-203
circRNA_100290,miR-378a
circRNA_100290,miR-516b
circRNA_100876,miR-136
circRNA_101368,miR-200a
circRNA_101505,miR-103
circRNA_104433,miR-497-5p
circRNA_104718,miR-218-5p
circRNA_5692,miR-328-5p
circRNA_8924,miR-518d-5p
circRNA-ACAP2,miR-21-5p
circRNA-CER,miR-136
circRNF13,miR-93-5p
circRPMS1,miR-203
circRPMS1,miR-451
circRPMS1,miR-31
circSCAF11,miR-421
circ-SCARB1,miR-510-5p
circSEPT9,miR-637
circ-SFMBT2,miR-182-5p
circSHKBP1,miR-544a
circSHKBP1,miR-379
circSLC3A2,miR-490-3p
circSLC7A6,miR-21
circSLC8A1,miR-130b
circSLC8A1,miR-494
circ-SMAD2,miR-629
circSMARCA5,miR-19b-3p
circSMO742,miR-338-3p
circ-SOX4,miR-1270
circTADA2A-E6,miR-203a-3p
circTCF25,miR-206
circ-TCF4.85,miR-486-5p
circTNFRSF21,miR-1227
circTP63,miR-873-3p
circTRIM33-12,miR-191
circ-TTBK2,miR-761
circUBAP2,miR-339-5p
circUBAP2,miR-135b-3p
circUBAP2,miR-96-3p
circUBAP2,miR-422a
circ-UBE2D2,miR-1236
circ-UBE2D2,miR-1287
circUBXN7,miR-1247-3p
circUVRAG,miR-223
circVANGL1,miR-1184
circVANGL1,miR-195
circ-VRK1,miR-624-3p
circWHSC1,miR-145
circWHSC1,miR-1182
circYAP1,miR-367-5p
circ-ZEB1.33,miR-200a-3p
circZFP57,miR-200
circZFR,miR-1261
circZFR,miR-130a
circZFR,miR-107
circZFR,miR-3619-5p
circZFR,miR-377
circ-ZKSCAN1,miR-1178-3p
